date,open,high,low,close,volume,amount,outstanding_share,turnover,pct_chg
2024-12-17,6.79,6.89,6.72,6.8,49082170.0,334377958.0,12673342768.000002,0.0038728669222086957,-0.1468428781204123
2024-12-18,6.83,6.92,6.72,6.79,42415031.0,287975964.0,12673342768.000002,0.0033467911171074223,-0.14705882352941124
2024-12-19,6.75,6.86,6.61,6.8,66219325.0,447502884.0,12673342768.000002,0.0052250875094456365,0.14727540500736325
2024-12-20,6.82,6.86,6.63,6.67,51931036.0,349199669.0,12673342768.000002,0.00409765891688222,-1.9117647058823461
2024-12-23,6.69,6.9,6.67,6.77,55609860.0,378075941.0,12673342768.000002,0.004387939395154217,1.4992503748125774
2024-12-24,6.75,6.85,6.72,6.82,34919501.0,237162611.0,12673342768.000002,0.0027553504737653912,0.7385524372230501
2024-12-25,6.68,6.75,6.42,6.62,78422310.0,513327804.0,12673342768.000002,0.006187973562745824,-2.9325513196480912
2024-12-26,6.58,6.64,6.49,6.52,41776105.0,273324845.0,12673342768.000002,0.003296376162529434,-1.5105740181268978
2024-12-27,6.52,6.7,6.5,6.66,59429843.0,395027027.0,12673342768.000002,0.004689358134466263,2.147239263803691
2024-12-30,6.58,6.74,6.5,6.58,63604511.0,420196954.0,12673342768.000002,0.005018763570460702,-1.2012012012012074
2024-12-31,6.59,6.63,6.48,6.49,43675082.0,285449036.0,12673342768.000002,0.0034462164244684454,-1.3677811550151908
2025-01-02,6.44,6.51,6.31,6.34,56405497.0,360153181.0,12673342768.000002,0.004450719753467335,-2.3112480739599484
2025-01-03,6.35,6.49,6.29,6.33,51964450.0,331581662.0,12673342768.000002,0.004100295474624852,-0.1577287066246047
2025-01-06,6.31,6.36,6.13,6.19,55634629.0,345729379.0,12673342768.000002,0.004389893812426236,-2.211690363349128
2025-01-07,6.21,6.27,6.13,6.2,41068550.0,254149072.0,12673342768.000002,0.003240545983155878,0.1615508885298933
2025-01-08,6.18,6.2,6.08,6.13,54214957.0,331908054.0,12673342768.000002,0.004277873485509438,-1.1290322580645218
2025-01-09,6.14,6.25,6.1,6.2,43245798.0,267776940.0,12673342768.000002,0.003412343435482151,1.1419249592169667
2025-01-10,6.2,6.35,6.11,6.11,43947021.0,272225706.0,12673342768.000002,0.0034676739834549066,-1.4516129032258074
2025-01-13,6.08,6.1,5.85,6.03,99508243.0,592053420.0,12673342768.000002,0.007851775559267346,-1.3093289689034338
2025-01-14,6.04,6.46,6.03,6.43,80349108.0,506919924.0,12673342768.000002,0.006340009062398302,6.633499170812596
2025-01-15,6.43,6.45,6.34,6.36,35635186.0,227623294.0,12673342768.000002,0.0028118221571327103,-1.0886469673405785
2025-01-16,6.4,6.5,6.3,6.35,39349207.0,251093773.0,12673342768.000002,0.003104879882153598,-0.15723270440252124
2025-01-17,6.35,6.51,6.29,6.34,56217891.0,359497393.0,12673342768.000002,0.0044359165556501256,-0.15748031496062298
2025-01-20,6.4,6.47,6.27,6.28,62488299.0,397940257.0,12673342768.000002,0.004930687991630906,-0.9463722397476282
2025-01-21,6.41,6.53,6.31,6.41,71115701.0,457569750.0,12673342768.000002,0.0056114398783220845,2.070063694267521
2025-01-22,6.36,6.39,6.16,6.28,48714371.0,305978825.0,12673342768.000002,0.0038438454551235723,-2.028081123244929
2025-01-23,6.31,6.38,6.2,6.25,50855494.0,319093085.0,12673342768.000002,0.004012792436136846,-0.4777070063694322
2025-01-24,6.25,6.34,6.2,6.27,34928369.0,219112506.0,12673342768.000002,0.0027560502102250087,0.31999999999998696
2025-01-27,6.26,6.29,6.16,6.19,44324664.0,274970102.0,12673342768.000002,0.0034974721990412116,-1.2759170653907415
2025-02-05,6.16,6.18,5.85,5.85,119501418.0,707157018.0,12673342768.000002,0.00942935263313001,-5.492730210016172
2025-02-06,5.88,5.91,5.81,5.86,67084617.0,392957122.0,12673342768.000002,0.0052933640498849,0.17094017094019254
2025-02-07,5.87,5.91,5.8,5.89,101927484.0,597913889.0,12673342768.000002,0.008042667658083497,0.5119453924914641
2025-02-10,5.88,5.96,5.84,5.95,89649009.0,529942520.0,12673342768.000002,0.007073825007429167,1.018675721561979
2025-02-11,5.95,5.98,5.74,5.78,119022747.0,689995779.0,12673342768.000002,0.009391582724372502,-2.857142857142858
2025-02-12,5.78,5.84,5.72,5.77,75409580.0,434571953.0,12673342768.000002,0.005950251751290752,-0.17301038062285112
2025-02-13,5.76,5.84,5.75,5.81,83978219.0,487596180.0,12673342768.000002,0.006626366897614711,0.6932409012131657
2025-02-14,5.8,5.82,5.76,5.81,49191768.0,284823047.0,12673342768.000002,0.0038815148379169914,0.0
2025-02-17,5.81,5.82,5.74,5.78,58791714.0,339079094.0,12673342768.000002,0.004639006067795166,-0.5163511187607495
2025-02-18,5.76,5.78,5.68,5.69,66258585.0,379807781.0,12673342768.000002,0.005228185350379848,-1.557093425605538
2025-02-19,5.68,5.7,5.63,5.66,69538358.0,393269555.0,12673342768.000002,0.005486978398121078,-0.5272407732864748
2025-02-20,5.67,5.71,5.62,5.64,70532603.0,398641256.0,12673342768.000002,0.005565430075646163,-0.35335689045937757
2025-02-21,5.65,5.68,5.62,5.64,65013542.0,366713918.0,12673342768.000002,0.005129944260969427,0.0
2025-02-24,5.64,5.86,5.61,5.85,151104939.0,872680297.0,12673342768.000002,0.011923053117567188,3.7234042553191404
2025-02-25,5.81,5.95,5.76,5.8,118580507.0,696628405.0,12673342768.000002,0.009356687432096762,-0.8547008547008517
2025-02-26,5.82,5.9,5.7,5.78,92166963.0,531178094.0,12673342768.000002,0.007272506132535149,-0.34482758620688614
2025-02-27,5.76,5.91,5.75,5.9,111187403.0,650093036.0,12673342768.000002,0.008773328792206781,2.076124567474058
2025-02-28,5.88,5.97,5.83,5.85,78052096.0,460345585.0,12673343740.0,0.006158761065846384,-0.8474576271186529
2025-03-03,5.86,5.89,5.8,5.84,58784137.0,343289120.0,12673343740.0,0.004638407842948636,-0.17094017094017033
2025-03-04,5.85,5.9,5.77,5.88,65683498.0,384218398.0,12673343740.0,0.005182807264407081,0.6849315068493178
2025-03-05,5.88,6.04,5.87,6.01,99118166.0,591355588.0,12673343740.0,0.007820995629366556,2.2108843537415046
2025-03-06,6.1,6.11,6.0,6.06,73114193.0,441898217.0,12673343740.0,0.005769132006514959,0.8319467554076532
2025-03-07,6.02,6.08,5.98,6.02,50558573.0,305120163.0,12673343740.0,0.003989363346977283,-0.660066006600657
2025-03-10,6.0,6.02,5.85,5.89,65375924.0,385693869.0,12673343740.0,0.005158537899801335,-2.1594684385382035
2025-03-11,5.88,5.94,5.85,5.94,41388101.0,244386855.0,12673343740.0,0.003265760153681431,0.8488964346349936
2025-03-12,5.94,5.96,5.86,5.87,44599327.0,262946187.0,12673343740.0,0.0035191444274674114,-1.1784511784511786
2025-03-13,5.9,5.92,5.77,5.82,50115781.0,291747920.0,12673343740.0,0.003954424501390507,-0.8517887563884163
2025-03-14,5.82,5.93,5.8,5.92,46993840.0,276422807.0,12673343740.0,0.0037080853296574436,1.7182130584192379
2025-03-17,5.93,6.04,5.9,5.94,61390648.0,365608670.0,12673343740.0,0.00484407661146576,0.33783783783785104
2025-03-18,5.94,5.96,5.88,5.91,40358765.0,238908672.0,12673343740.0,0.0031845395996494925,-0.5050505050505083
2025-03-19,5.9,5.99,5.88,5.92,43966814.0,261176293.0,12673343740.0,0.0034692354994862624,0.16920473773265332
2025-03-20,5.91,5.96,5.89,5.9,41867911.0,248007497.0,12673343740.0,0.0033036199332189815,-0.33783783783782884
2025-03-21,5.9,5.94,5.8,5.82,56364942.0,330396884.0,12673343740.0,0.00444751938843884,-1.3559322033898313
2025-03-24,5.81,5.92,5.81,5.91,63703446.0,374543137.0,12673343740.0,0.005026569728313863,1.546391752577314
2025-03-25,5.92,6.16,5.89,6.12,140925320.0,853922492.0,12673343740.0,0.011119821484460106,3.5532994923857864
2025-03-26,6.12,6.15,6.05,6.12,56518051.0,345071869.0,12673343740.0,0.004459600572626779,0.0
2025-03-27,6.09,6.13,5.99,6.02,51617916.0,311554775.0,12673343740.0,0.004072951626576808,-1.6339869281045805
2025-03-28,6.02,6.04,5.81,5.82,83724472.0,491891935.0,12673343740.0,0.006606344285900352,-3.322259136212613
2025-03-31,5.81,5.83,5.66,5.68,82664602.0,472556589.0,12673346819.0,0.006522712838258987,-2.4054982817869552
2025-04-01,5.7,5.76,5.63,5.71,54870132.0,312761962.0,12673346819.0,0.004329569196176198,0.5281690140845008
2025-04-02,5.7,5.74,5.68,5.7,33448684.0,190858577.0,12673346819.0,0.002639293667072491,-0.17513134851138146
2025-04-03,5.66,5.8,5.65,5.79,60754655.0,348588439.0,12673346819.0,0.004793891926710003,1.5789473684210575
2025-04-07,5.64,5.65,5.35,5.43,116187960.0,640484051.0,12673346819.0,0.009167898713685474,-6.217616580310892
2025-04-08,5.48,5.6,5.44,5.58,71819590.0,397380179.0,12673346819.0,0.005666978977670476,2.7624309392265234
2025-04-09,5.55,5.77,5.44,5.73,88338333.0,494780789.0,12673346819.0,0.006970402866870363,2.6881720430107503
2025-04-10,5.73,5.76,5.66,5.73,66534424.0,380029687.0,12673346819.0,0.005249948963777348,0.0
2025-04-11,5.71,5.81,5.68,5.76,47730632.0,274680984.0,12673346819.0,0.0037662215578636096,0.5235602094240788
2025-04-14,5.76,5.82,5.71,5.74,39711477.0,227955961.0,12673346819.0,0.003133464077576113,-0.3472222222222099
2025-04-15,5.74,5.75,5.66,5.71,39039875.0,222128193.0,12673346819.0,0.003080470814660501,-0.5226480836237002
2025-04-16,5.7,5.86,5.68,5.85,84933042.0,492892624.0,12673346819.0,0.006701705809286904,2.4518388791593626
2025-04-17,5.81,5.9,5.78,5.87,53338496.0,312644378.0,12673346819.0,0.004208714301105879,0.34188034188034067
2025-04-18,5.88,5.89,5.75,5.78,38885111.0,224800765.0,12673346819.0,0.0030682590443830574,-1.5332197614991494
2025-04-21,5.77,5.81,5.74,5.78,25515220.0,147424441.0,12673346819.0,0.0020132976998425817,0.0
2025-04-22,5.78,5.82,5.71,5.73,40681817.0,233849115.0,12673346819.0,0.0032100294879494214,-0.865051903114189
2025-04-23,5.75,5.76,5.7,5.7,28639170.0,163556026.0,12673346819.0,0.002259795333389274,-0.5235602094240899
2025-04-24,5.7,5.78,5.69,5.7,33768909.0,193347477.0,12673346819.0,0.0026645612624893477,0.0
2025-04-25,5.7,5.72,5.65,5.66,42293627.0,240088480.0,12673346819.0,0.0033372105730266137,-0.7017543859649145
2025-04-28,5.67,5.68,5.63,5.64,35180174.0,198819770.0,12673346819.0,0.0027759181929162984,-0.35335689045937757
2025-04-29,5.65,5.72,5.62,5.69,51657786.0,292967196.0,12673346819.0,0.004076096609504458,0.8865248226950451
2025-04-30,5.64,5.71,5.6,5.62,56577575.0,318927593.0,12673347143.000002,0.004464296161196063,-1.2302284710017597
2025-05-06,5.7,5.92,5.67,5.91,156570376.0,915168579.0,12673347143.000002,0.01235430342381808,5.1601423487544595
2025-05-07,5.93,5.93,5.78,5.8,56393500.0,328580162.0,12673347143.000002,0.00444977158470313,-1.861252115059231
2025-05-08,5.81,5.83,5.76,5.79,31851873.0,184593184.0,12673347143.000002,0.0025132960251619926,-0.17241379310344307
2025-05-09,5.79,5.81,5.73,5.75,30904079.0,177862023.0,12673347143.000002,0.0024385096258544106,-0.6908462867012077
2025-05-12,5.79,5.92,5.74,5.9,74237408.0,434319885.0,12673347143.000002,0.005857758582822716,2.60869565217392
2025-05-13,5.93,5.99,5.87,5.93,53079449.0,315397702.0,12673347143.000002,0.004188273894897443,0.5084745762711673
2025-05-14,5.92,5.96,5.85,5.93,41296519.0,244258313.0,12673347143.000002,0.0032585329300957185,0.0
2025-05-15,5.93,5.97,5.88,5.9,39538617.0,233885075.0,12673347143.000002,0.0031198243489951876,-0.5059021922428242
2025-05-16,5.91,5.98,5.84,5.97,51009452.0,301781017.0,12673347143.000002,0.0040249392227983405,1.186440677966094
2025-05-19,5.96,6.01,5.89,5.94,39464123.0,234346981.0,12673347143.000002,0.003113946343827378,-0.5025125628140614
2025-05-20,5.94,6.0,5.9,5.97,36889833.0,219513679.0,12673347143.000002,0.0029108200528047347,0.5050505050504972
2025-05-21,5.95,6.1,5.94,6.08,61382758.0,372017499.0,12673347143.000002,0.004843452744360764,1.8425460636515956
2025-05-22,6.05,6.21,6.04,6.11,74020665.0,454616366.0,12673347143.000002,0.005840656313189099,0.49342105263159297
2025-05-23,6.11,6.17,5.99,6.01,44233395.0,269000987.0,12673347143.000002,0.0034902693424942502,-1.6366612111293088
2025-05-26,6.0,6.25,6.0,6.22,80472026.0,496792627.0,12673347143.000002,0.006349705811100418,3.4941763727121433
2025-05-27,6.2,6.27,6.14,6.2,45506711.0,282365902.0,12673347143.000002,0.003590741300346624,-0.3215434083601254
2025-05-28,6.19,6.28,6.14,6.24,42740418.0,266159637.0,12673347143.000002,0.0033724648680208565,0.6451612903225712
2025-05-29,6.24,6.25,6.02,6.13,59985761.0,365536981.0,12673347143.000002,0.004733221644065241,-1.7628205128205177
2025-05-30,6.11,6.16,6.07,6.09,29876276.0,182590622.0,12673347467.0,0.002357409995882661,-0.6525285481239762
2025-06-03,6.05,6.06,5.91,6.04,61209634.0,366792477.0,12673347467.0,0.0048297921412936195,-0.8210180623973717
2025-06-04,6.02,6.04,5.92,5.94,53213850.0,316803236.0,12673347467.0,0.004198878799667018,-1.655629139072845
2025-06-05,5.95,6.0,5.92,5.96,36339864.0,216466775.0,12673347467.0,0.002867424261397788,0.33670033670032407
2025-06-06,5.95,5.97,5.9,5.94,28068006.0,166441597.0,12673347467.0,0.0022147270934601924,-0.3355704697986517
2025-06-09,5.93,5.99,5.86,5.97,51086403.0,302851094.0,12673347467.0,0.0040310109963467315,0.5050505050504972
2025-06-10,5.95,6.06,5.94,6.02,59079722.0,354828184.0,12673347467.0,0.0046617298352970345,0.8375209380234505
2025-06-11,6.02,6.06,5.98,6.04,29839900.0,179723171.0,12673347467.0,0.002354539720283044,0.33222591362127574
2025-06-12,6.02,6.03,5.93,5.96,40128382.0,239171141.0,12673347467.0,0.003166360119494071,-1.3245033112582738
2025-06-13,5.9,5.94,5.8,5.81,77593151.0,453663681.0,12673347467.0,0.006122545854758896,-2.5167785234899376
2025-06-16,5.8,5.82,5.75,5.79,51447321.0,296960358.0,12673347467.0,0.0040594895021984646,-0.344234079173833
2025-06-17,5.79,5.87,5.78,5.82,38946873.0,226862608.0,12673347467.0,0.0030731322644954985,0.5181347150259086
2025-06-18,5.8,5.84,5.76,5.78,30254943.0,174973690.0,12673347467.0,0.002387288999909498,-0.6872852233676952
2025-06-19,5.79,5.79,5.73,5.74,28491287.0,164015944.0,12673347467.0,0.002248126398663666,-0.692041522491349
2025-06-20,5.73,5.78,5.73,5.76,30252531.0,174072542.0,12673347467.0,0.0023870986792380038,0.34843205574912606
2025-06-23,5.73,5.77,5.67,5.75,36685293.0,209878859.0,12673347467.0,0.002894680596071753,-0.17361111111110494
2025-06-24,5.84,5.91,5.83,5.84,64616033.0,378995068.0,12673347467.0,0.005098576612710496,1.5652173913043521
2025-06-25,5.86,5.9,5.84,5.89,33601182.0,197434773.0,12673347467.0,0.0026513265013441614,0.8561643835616417
2025-06-26,5.88,5.93,5.83,5.89,35440526.0,208359161.0,12673347467.0,0.002796461321074264,0.0
2025-06-27,5.9,5.97,5.87,5.9,39575002.0,234252869.0,12673347467.0,0.0031226952549868094,0.1697792869270076
2025-06-30,5.9,5.97,5.86,5.9,33971371.0,200656073.0,12673348439.0,0.002680536336826271,0.0
2025-07-01,5.9,5.92,5.84,5.86,37133200.0,217941760.0,12673348439.0,0.0029300228095780205,-0.6779661016949157
2025-07-02,5.87,5.88,5.8,5.81,41442100.0,241602733.0,12673348439.0,0.0032700197741324013,-0.8532423208191253
2025-07-03,5.79,5.83,5.74,5.76,63645609.0,367059750.0,12673348439.0,0.005022004192999368,-0.8605851979345935
2025-07-04,5.77,5.78,5.72,5.74,51802023.0,297325211.0,12673348439.0,0.0040874772164070225,-0.3472222222222099
2025-07-07,5.74,5.77,5.72,5.73,39767610.0,228145315.0,12673348439.0,0.003137892893216932,-0.17421602787456303
2025-07-08,5.73,5.75,5.7,5.74,45194822.0,258960967.0,12673348439.0,0.003566131099253997,0.17452006980802626
2025-07-09,5.74,5.77,5.73,5.75,35458392.0,204132711.0,12673348439.0,0.002797870836635647,0.17421602787455193
2025-07-10,5.74,5.79,5.73,5.79,39819813.0,229471930.0,12673348439.0,0.003142012009822245,0.6956521739130528
2025-07-11,5.8,5.84,5.79,5.8,45517737.0,264400475.0,12673348439.0,0.0035916109478949677,0.17271157167528806
2025-07-14,5.8,5.8,5.77,5.78,30513047.0,176442991.0,12673348439.0,0.0024076547052159845,-0.34482758620688614
2025-07-15,5.77,5.78,5.65,5.67,102863612.0,585156671.0,12673348439.0,0.008116529936433794,-1.903114186851218
2025-07-16,5.67,5.72,5.66,5.69,41172244.0,234015467.0,12673348439.0,0.003248726585414448,0.3527336860670305
2025-07-17,5.68,5.69,5.66,5.69,32982455.0,187198258.0,12673348439.0,0.002602505183121321,0.0
2025-07-18,5.69,5.71,5.68,5.7,28461779.0,162074114.0,12673348439.0,0.002245797875517561,0.17574692442881013
2025-07-21,5.71,5.74,5.68,5.73,48951884.0,279691559.0,12673348439.0,0.0038625848753088164,0.5263157894736858
2025-07-22,5.73,5.77,5.69,5.76,67826622.0,388858421.0,12673348439.0,0.005351910138545193,0.5235602094240788
2025-07-23,5.85,5.99,5.83,5.84,165671456.0,980049330.0,12673348439.0,0.013072429657988037,1.388888888888884
2025-07-24,5.81,5.91,5.8,5.89,69061784.0,405251364.0,12673348439.0,0.0054493715163290634,0.8561643835616417
2025-07-25,5.89,5.93,5.84,5.86,57444900.0,337694250.0,12673348439.0,0.004532732629935703,-0.5093378607809784
2025-07-28,5.86,5.89,5.78,5.79,59158660.0,344894417.0,12673348439.0,0.004667958139456628,-1.1945392491467643
2025-07-29,5.79,5.81,5.75,5.79,37305616.0,215252153.0,12673348439.0,0.0029436274225048947,0.0
2025-07-30,5.78,5.82,5.75,5.77,42978600.0,248428986.0,12673348439.0,0.003391258451297758,-0.3454231433506094
2025-07-31,5.76,5.77,5.65,5.67,88127905.0,501443280.0,12673348925.0,0.006953797731091824,-1.7331022530329254
2025-08-01,5.67,5.68,5.65,5.67,43150001.0,244368910.0,12673348925.0,0.0034047828443262086,0.0
2025-08-04,5.66,5.69,5.64,5.69,33457501.0,189650228.0,12673348925.0,0.002639988940413396,0.3527336860670305
2025-08-05,5.69,5.74,5.68,5.73,31475907.0,180161595.0,12673348925.0,0.0024836297955869624,0.7029876977152849
2025-08-06,5.74,5.74,5.68,5.72,32779661.0,187219667.0,12673348925.0,0.002586503472285641,-0.17452006980803736
2025-08-07,5.72,5.74,5.7,5.74,26512129.0,151768468.0,12673348925.0,0.0020919592095898993,0.34965034965035446
2025-08-08,5.74,5.74,5.7,5.72,29251757.0,167076600.0,12673348925.0,0.0023081315896145422,-0.34843205574913716
2025-08-11,5.72,5.73,5.69,5.73,31106595.0,177642696.0,12673348925.0,0.002454488958213545,0.17482517482518833
2025-08-12,5.73,5.75,5.71,5.74,33554386.0,192335038.0,12673348925.0,0.0026476337232228457,0.17452006980802626
2025-08-13,5.76,5.78,5.73,5.76,63312502.0,364400731.0,12673348925.0,0.00499571994542871,0.34843205574912606
2025-08-14,5.77,5.79,5.73,5.76,54474558.0,313795452.0,12673348925.0,0.004298355416739226,0.0
2025-08-15,5.75,5.87,5.72,5.86,94233552.0,549574140.0,12673348925.0,0.007435568337750947,1.736111111111116
2025-08-18,5.87,5.92,5.84,5.87,74153865.0,435832914.0,12673348925.0,0.005851165736762826,0.17064846416381396
2025-08-19,5.88,5.93,5.85,5.9,73038833.0,431257152.0,12673348925.0,0.005763183309497651,0.5110732538330609
2025-08-20,5.92,5.97,5.88,5.95,65955588.0,390928985.0,12673348925.0,0.005204274607313394,0.8474576271186418
2025-08-21,5.97,6.01,5.92,5.96,54181314.0,323641708.0,12673348925.0,0.0042752167813449515,0.1680672268907557
2025-08-22,5.96,5.97,5.83,5.88,95139354.0,558164246.0,12673348925.0,0.0075070413166265755,-1.342281879194629
2025-08-25,5.89,6.0,5.88,6.0,84927164.0,505118346.0,12673348925.0,0.00670124088767642,2.0408163265306145
2025-08-26,6.0,6.13,5.96,6.07,92626177.0,561401937.0,12673348925.0,0.007308737220773711,1.1666666666666714
2025-08-27,6.06,6.14,5.97,6.01,85220854.0,515752730.0,12673348925.0,0.0067244147150316074,-0.9884678747940745
2025-08-28,6.01,6.08,5.92,6.03,65438063.0,393042560.0,12673348925.0,0.005163438913207387,0.33277870216306127
2025-08-29,6.06,6.15,6.03,6.04,80653778.0,491592294.0,12673349572.999998,0.0063640458692806245,0.16583747927030323
2025-09-01,6.05,6.06,5.93,5.97,54541658.0,325792614.0,12673349572.999998,0.004303649771974929,-1.1589403973509937
2025-09-02,5.96,5.99,5.88,5.91,40556697.0,240147669.0,12673349572.999998,0.0032001561044606723,-1.005025125628134
2025-09-03,5.91,5.93,5.82,5.83,47850660.0,279853755.0,12673349572.999998,0.0037756916373508456,-1.3536379018612488
