日期,昨日涨跌幅,开盘涨幅,入场价,入场原因,代码,收益_1日,收益_3日,收益_5日,收益_10日,涨跌幅区间
2025-10-13,4.0416166466586745,-1.846153846153853,51.04,昨日涨跌幅+4.04%，符合2%-7%区间,000063,-1.93,5.58,-5.06,0.27,4%~5%
2025-10-14,3.2115384615384546,0.8198248555990162,54.11,昨日涨跌幅+3.21%，符合2%-7%区间,000063,-7.14,-10.41,-5.58,-9.0,3%~4%
2025-10-22,5.432098765432092,-2.0491803278688603,50.19,昨日涨跌幅+5.43%，符合2%-7%区间,000063,-4.26,1.97,-8.23,-18.39,5%~7%
2025-10-27,3.444698070139052,1.3039117352056095,50.5,昨日涨跌幅+3.44%，符合2%-7%区间,000063,-2.48,-11.51,-15.55,-16.89,3%~4%
2025-10-28,2.9488465396188435,-1.7926734216679674,50.4,昨日涨跌幅+2.95%，符合2%-7%区间,000063,-8.61,-14.05,-17.48,-19.13,2%~3%
2025-11-07,3.649635036496357,-1.2910798122065859,42.05,昨日涨跌幅+3.65%，符合2%-7%区间,000063,-0.14,-5.8,-5.73,-9.74,3%~4%
2025-11-26,3.13065976714102,-0.677370797792265,39.59,昨日涨跌幅+3.13%，符合2%-7%区间,000063,6.57,16.67,9.09,5.86,3%~4%
2025-11-27,2.784746613146005,3.4415425921406007,42.38,昨日涨跌幅+2.78%，符合2%-7%区间,000063,-0.96,7.08,0.99,-11.04,2%~3%
2025-11-28,3.2462777642177088,0.04728132387707973,42.32,昨日涨跌幅+3.25%，符合2%-7%区间,000063,9.12,2.04,-1.15,-11.08,3%~4%
2025-12-18,3.326810176125239,-1.2445887445887482,36.5,昨日涨跌幅+3.33%，符合2%-7%区间,000063,1.17,1.61,4.13,4.51,3%~4%
2025-12-25,2.904006453347696,0.2613012803762693,38.37,昨日涨跌幅+2.90%，符合2%-7%区间,000063,-1.5,-3.15,-0.59,10.33,2%~3%
2026-01-07,2.666666666666684,0.2546473134708238,39.37,昨日涨跌幅+2.67%，符合2%-7%区间,000063,1.29,7.52,2.31,0.1,2%~3%
2026-01-09,2.749229188078117,-0.15003750937735427,39.93,昨日涨跌幅+2.75%，符合2%-7%区间,000063,6.01,0.87,-0.05,0.17,2%~3%
2026-01-13,5.493412875963211,0.0,42.44,昨日涨跌幅+5.49%，符合2%-7%区间,000063,-5.11,-5.98,-9.35,-5.56,5%~7%
2026-01-22,2.4099507644467444,1.0374493927125528,39.93,昨日涨跌幅+2.41%，符合2%-7%区间,000063,0.17,0.4,-1.33,-8.69,2%~3%
2026-02-10,2.643899752134393,-0.2951435470888275,37.16,昨日涨跌幅+2.64%，符合2%-7%区间,000063,0.23,-0.28,1.87,-0.79,2%~3%
2026-03-06,2.4614552339734974,-1.0295670538542745,37.49,昨日涨跌幅+2.46%，符合2%-7%区间,000063,-5.05,-1.27,-3.03,-8.87,2%~3%
2026-03-11,3.2773109243697363,0.3525901817195587,37.0,昨日涨跌幅+3.28%，符合2%-7%区间,000063,0.04,-1.63,-2.31,-9.87,3%~4%
2026-03-25,2.7145085803432334,0.2430133657351119,33.0,昨日涨跌幅+2.71%，符合2%-7%区间,000063,-1.25,-1.52,-0.31,7.48,2%~3%
2026-04-09,5.256648113790963,-0.998824911868379,33.7,昨日涨跌幅+5.26%，符合2%-7%区间,000063,5.92,6.04,4.76,9.07,5%~7%
2026-04-10,4.465334900117512,-0.16872890888639525,35.5,昨日涨跌幅+4.47%，符合2%-7%区间,000063,0.34,-1.1,-0.76,2.2,4%~5%
2026-04-23,6.079545454545454,-0.3749330476700563,37.2,昨日涨跌幅+6.08%，符合2%-7%区间,000063,-2.48,-3.48,-1.62,2.11,5%~7%
2026-04-28,2.418911489829556,-0.6977992485238782,37.0,昨日涨跌幅+2.42%，符合2%-7%区间,000063,-1.85,3.1,4.26,-1.06,2%~3%
