日期,年份,代码,板块,昨日涨跌,开盘,买入价,卖出价,收盘,最高,最低,毛收益,净收益,卖出原因,量化评分,评分评级
2025-07-15,2025,002916,元件,5.52,124.3,124.55,130.78,131.96,132.27,124.3,5.0,4.9,止盈(5%),70.8,可交易
2025-07-18,2025,002916,元件,5.97,133.29,133.56,130.89,131.6,136.5,130.0,-2.0,-2.1,止损(-2%),69.5,观望
2025-07-21,2025,600745,通信设备,5.53,37.05,37.12,37.12,37.12,37.49,36.8,-0.01,-0.11,收盘卖出,79.5,可交易
2025-07-22,2025,603228,元件,6.64,55.85,55.96,54.84,54.24,57.49,54.24,-2.0,-2.1,止损(-2%),69.5,观望
2025-07-24,2025,688072,半导体,6.49,174.21,174.56,176.81,176.81,178.5,173.41,1.29,1.19,收盘卖出,77.8,可交易
2025-07-25,2025,300236,电子化学品,4.14,41.0,41.08,42.4,42.4,42.46,40.9,3.21,3.11,收盘卖出,79.5,可交易
2025-07-28,2025,603228,元件,6.64,58.3,58.42,61.34,63.18,64.13,58.0,5.0,4.9,止盈(5%),69.5,观望
2025-07-29,2025,603267,元件,4.19,54.2,54.31,55.6,55.6,55.67,54.13,2.38,2.28,收盘卖出,76.5,可交易
2025-07-31,2025,601138,计算机设备,6.7,33.26,33.33,34.99,34.61,35.9,33.2,5.0,4.9,止盈(5%),67.2,观望
2025-08-04,2025,300661,半导体,5.24,74.36,74.51,78.23,76.12,78.8,74.15,5.0,4.9,止盈(5%),74.2,可交易
2025-08-06,2025,601138,计算机设备,6.31,34.1,34.17,34.3,34.3,34.69,33.55,0.39,0.29,收盘卖出,69.5,观望
2025-08-07,2025,688041,半导体,4.75,156.91,157.22,155.05,155.05,160.3,154.14,-1.38,-1.48,收盘卖出,70.8,可交易
2025-08-08,2025,601138,计算机设备,3.94,35.73,35.8,35.09,36.59,37.55,35.06,-2.0,-2.1,止损(-2%),69.5,观望
2025-08-11,2025,603160,半导体,4.6,83.12,83.29,82.7,82.7,84.97,82.18,-0.7,-0.8,收盘卖出,79.5,可交易
2025-08-13,2025,300655,电子化学品,3.99,11.1,11.12,11.33,11.33,11.57,11.1,1.87,1.77,收盘卖出,76.5,可交易
2025-08-14,2025,300346,电子化学品,5.83,34.59,34.66,33.97,33.75,35.0,33.69,-2.0,-2.1,止损(-2%),77.0,可交易
2025-08-18,2025,300236,电子化学品,6.38,49.99,50.09,49.09,50.92,52.18,48.7,-2.0,-2.1,止损(-2%),70.8,可交易
2025-08-20,2025,688126,半导体,2.62,21.68,21.72,21.75,21.75,22.5,21.31,0.12,0.02,收盘卖出,70.8,可交易
2025-08-21,2025,688008,半导体,3.64,92.88,93.07,91.2,91.18,94.94,90.81,-2.0,-2.1,止损(-2%),69.5,观望
2025-08-22,2025,600584,半导体,4.09,40.23,40.31,39.5,39.9,40.77,39.46,-2.0,-2.1,止损(-2%),70.8,可交易
2025-08-26,2025,603267,元件,6.66,61.65,61.77,60.95,60.95,62.3,60.64,-1.33,-1.43,收盘卖出,80.8,可交易
2025-08-27,2025,600703,通信设备,6.37,15.6,15.63,15.32,15.35,15.95,15.27,-2.0,-2.1,止损(-2%),67.2,观望
2025-08-28,2025,688008,半导体,4.44,109.0,109.22,114.68,117.5,117.71,109.0,5.0,4.9,止盈(5%),69.5,观望
2025-09-03,2025,688041,半导体,6.26,241.57,242.05,237.21,242.69,244.97,234.55,-2.0,-2.1,止损(-2%),69.5,观望
2025-09-08,2025,688008,半导体,5.41,110.0,110.22,109.33,109.33,112.59,108.04,-0.81,-0.91,收盘卖出,68.0,观望
2025-09-09,2025,300285,元件,6.65,23.6,23.65,23.93,23.93,24.78,23.6,1.2,1.1,收盘卖出,70.8,可交易
2025-09-11,2025,688025,电子化学品,6.86,157.21,157.52,165.4,168.14,175.08,155.0,5.0,4.9,止盈(5%),69.5,观望
2025-09-17,2025,688981,半导体,5.03,133.0,133.27,134.11,134.11,137.8,132.31,0.63,0.53,收盘卖出,69.5,观望
2025-09-18,2025,600584,半导体,5.1,41.23,41.31,43.38,42.82,44.49,40.88,5.0,4.9,止盈(5%),79.5,可交易
2025-09-19,2025,601138,计算机设备,5.3,65.64,65.77,66.1,66.1,68.63,65.0,0.5,0.4,收盘卖出,69.5,观望
2025-09-22,2025,300408,元件,6.69,48.78,48.88,49.7,49.7,51.0,48.68,1.68,1.58,收盘卖出,80.8,可交易
2025-09-24,2025,300655,电子化学品,5.21,14.35,14.38,15.1,15.16,15.94,14.12,5.0,4.9,止盈(5%),70.8,可交易
2025-09-29,2025,002049,半导体,5.95,87.52,87.7,85.94,87.4,88.79,85.29,-2.0,-2.1,止损(-2%),80.8,可交易
2025-10-09,2025,300655,电子化学品,5.35,15.28,15.31,15.0,15.0,15.9,15.0,-2.0,-2.1,止损(-2%),70.8,可交易
2025-10-15,2025,600188,煤炭开采加工,2.79,14.39,14.42,14.27,14.27,14.43,14.18,-1.03,-1.13,收盘卖出,70.0,可交易
