日期,年份,代码,板块,昨日涨跌,开盘,买入价,卖出价,收盘,最高,最低,毛收益,净收益,卖出原因,持仓时间
2025-02-07,2025,300661,半导体,4.91,92.9,93.09,91.22,92.81,95.19,90.85,-2.0,-2.1,止损(-2%),盘中
2025-02-10,2025,603501,通信设备,3.13,117.36,117.59,118.34,118.34,119.78,116.91,0.63,0.53,收盘卖出,全天
2025-02-12,2025,603005,半导体,4.05,31.88,31.94,33.54,34.66,35.92,31.47,5.0,4.9,止盈(5%),盘中
2025-02-13,2025,603005,半导体,6.16,34.52,34.59,33.9,34.05,35.16,33.61,-2.0,-2.1,止损(-2%),盘中
2025-02-17,2025,688008,半导体,4.73,74.95,75.1,73.6,74.79,76.0,73.36,-2.0,-2.1,止损(-2%),盘中
2025-02-19,2025,603228,元件,5.81,38.0,38.08,37.31,39.46,39.8,37.2,-2.0,-2.1,止损(-2%),盘中
2025-02-20,2025,002371,半导体,5.79,455.0,455.91,456.0,456.0,461.58,451.39,0.02,-0.08,收盘卖出,全天
2025-02-21,2025,688025,电子化学品,4.82,53.56,53.67,52.59,54.6,55.14,52.56,-2.0,-2.1,止损(-2%),盘中
2025-02-24,2025,688008,半导体,6.31,77.7,77.86,77.67,77.67,79.64,76.47,-0.24,-0.34,收盘卖出,全天
2025-02-25,2025,688012,半导体,3.19,214.99,215.42,211.11,213.5,220.99,211.0,-2.0,-2.1,止损(-2%),盘中
2025-02-27,2025,688041,半导体,5.84,165.05,165.38,169.99,169.99,171.9,162.6,2.79,2.69,收盘卖出,全天
2025-03-04,2025,300285,元件,5.1,19.2,19.24,19.38,19.38,19.52,19.14,0.74,0.64,收盘卖出,全天
2025-03-05,2025,603267,元件,6.09,42.38,42.46,42.23,42.23,43.5,42.08,-0.55,-0.65,收盘卖出,全天
2025-03-10,2025,603267,元件,2.62,43.66,43.75,45.93,44.81,46.8,43.42,5.0,4.9,止盈(5%),盘中
2025-03-11,2025,600563,元件,5.03,128.0,128.26,129.65,129.65,132.45,127.0,1.09,0.99,收盘卖出,全天
2025-03-14,2025,600188,煤炭开采加工,2.55,13.61,13.64,13.63,13.63,13.68,13.53,-0.05,-0.15,收盘卖出,全天
2025-03-21,2025,603267,元件,2.53,53.6,53.71,52.63,53.97,54.8,52.37,-2.0,-2.1,止损(-2%),盘中
2025-03-25,2025,688025,电子化学品,6.37,57.24,57.35,56.21,56.88,58.86,55.57,-2.0,-2.1,止损(-2%),盘中
2025-03-26,2025,600188,煤炭开采加工,2.34,13.98,14.01,13.93,13.93,14.02,13.8,-0.56,-0.66,收盘卖出,全天
2025-04-01,2025,688019,电子化学品,2.02,168.51,168.85,167.71,167.71,169.8,165.52,-0.67,-0.77,收盘卖出,全天
2025-04-02,2025,300398,电子化学品,5.71,18.15,18.19,18.18,18.18,18.46,17.84,-0.03,-0.13,收盘卖出,全天
2025-04-17,2025,300661,半导体,3.6,116.51,116.74,122.58,123.69,126.6,116.18,5.0,4.9,止盈(5%),盘中
2025-04-22,2025,300236,电子化学品,3.92,37.3,37.37,38.32,38.32,38.84,37.2,2.53,2.43,收盘卖出,全天
2025-04-29,2025,600745,通信设备,3.73,33.51,33.58,35.26,34.51,35.4,33.28,5.0,4.9,止盈(5%),盘中
2025-04-30,2025,600745,通信设备,2.59,34.67,34.74,34.67,34.67,35.16,34.41,-0.2,-0.3,收盘卖出,全天
2025-05-06,2025,688008,半导体,3.38,77.15,77.3,78.92,78.92,78.97,76.8,2.09,1.99,收盘卖出,全天
2025-05-22,2025,600188,煤炭开采加工,2.99,13.09,13.12,13.03,13.03,13.14,13.0,-0.66,-0.76,收盘卖出,全天
2025-05-23,2025,600745,通信设备,3.41,35.6,35.67,35.08,35.08,36.17,35.03,-1.66,-1.76,收盘卖出,全天
2025-05-28,2025,688126,半导体,2.01,18.2,18.24,18.35,18.35,18.53,18.18,0.62,0.52,收盘卖出,全天
2025-05-30,2025,300398,电子化学品,4.35,20.18,20.22,21.23,20.76,21.6,19.9,5.0,4.9,止盈(5%),盘中
2025-06-05,2025,603228,元件,5.46,32.83,32.9,34.54,34.71,35.2,32.7,5.0,4.9,止盈(5%),盘中
2025-06-12,2025,688019,电子化学品,4.39,184.48,184.85,182.83,182.83,185.9,181.2,-1.09,-1.19,收盘卖出,全天
2025-06-13,2025,603228,元件,2.22,32.88,32.95,32.29,32.34,33.88,32.13,-2.0,-2.1,止损(-2%),盘中
2025-06-19,2025,688025,电子化学品,3.39,67.5,67.64,66.76,66.76,68.0,66.35,-1.29,-1.39,收盘卖出,全天
2025-06-25,2025,603986,半导体,3.08,124.98,125.23,122.73,125.5,125.79,122.6,-2.0,-2.1,止损(-2%),盘中
2025-06-26,2025,688981,半导体,3.81,88.39,88.57,87.28,87.28,89.98,87.2,-1.45,-1.55,收盘卖出,全天
2025-06-27,2025,002916,元件,4.81,103.98,104.19,109.4,107.95,111.25,102.2,5.0,4.9,止盈(5%),盘中
2025-06-30,2025,002916,元件,3.09,109.0,109.22,107.03,107.81,110.12,106.0,-2.0,-2.1,止损(-2%),盘中
2025-07-01,2025,300655,电子化学品,6.15,10.02,10.04,9.99,9.99,10.24,9.87,-0.5,-0.6,收盘卖出,全天
2025-07-04,2025,688025,电子化学品,6.02,74.02,74.17,75.61,75.61,76.47,73.82,1.94,1.84,收盘卖出,全天
2025-07-07,2025,688072,半导体,5.78,157.0,157.31,165.18,162.69,165.3,157.0,5.0,4.9,止盈(5%),盘中
2025-07-08,2025,688025,电子化学品,5.26,79.67,79.83,83.82,81.45,86.4,79.01,5.0,4.9,止盈(5%),盘中
2025-07-09,2025,300398,电子化学品,5.23,20.2,20.24,19.84,19.91,20.39,19.82,-2.0,-2.1,止损(-2%),盘中
2025-07-11,2025,300285,元件,2.78,18.5,18.54,18.25,18.25,18.56,18.19,-1.55,-1.65,收盘卖出,全天
2025-07-15,2025,002916,元件,5.52,124.3,124.55,130.78,131.96,132.27,124.3,5.0,4.9,止盈(5%),盘中
2025-07-18,2025,002916,元件,5.97,133.29,133.56,130.89,131.6,136.5,130.0,-2.0,-2.1,止损(-2%),盘中
2025-07-21,2025,600745,通信设备,5.53,37.05,37.12,37.12,37.12,37.49,36.8,-0.01,-0.11,收盘卖出,全天
2025-07-22,2025,603228,元件,6.64,55.85,55.96,54.84,54.24,57.49,54.24,-2.0,-2.1,止损(-2%),盘中
2025-07-24,2025,688072,半导体,6.49,174.21,174.56,176.81,176.81,178.5,173.41,1.29,1.19,收盘卖出,全天
2025-07-25,2025,300236,电子化学品,4.14,41.0,41.08,42.4,42.4,42.46,40.9,3.21,3.11,收盘卖出,全天
2025-07-28,2025,603228,元件,6.64,58.3,58.42,61.34,63.18,64.13,58.0,5.0,4.9,止盈(5%),盘中
2025-07-29,2025,603267,元件,4.19,54.2,54.31,55.6,55.6,55.67,54.13,2.38,2.28,收盘卖出,全天
2025-07-31,2025,601138,计算机设备,6.7,33.26,33.33,34.99,34.61,35.9,33.2,5.0,4.9,止盈(5%),盘中
2025-08-04,2025,300661,半导体,5.24,74.36,74.51,78.23,76.12,78.8,74.15,5.0,4.9,止盈(5%),盘中
2025-08-05,2025,688041,半导体,3.51,141.5,141.78,142.46,142.46,142.8,139.35,0.48,0.38,收盘卖出,全天
2025-08-06,2025,601138,计算机设备,6.31,34.1,34.17,34.3,34.3,34.69,33.55,0.39,0.29,收盘卖出,全天
2025-08-07,2025,002049,半导体,3.95,77.51,77.67,76.7,76.7,78.47,76.27,-1.24,-1.34,收盘卖出,全天
2025-08-08,2025,601138,计算机设备,3.94,35.73,35.8,35.09,36.59,37.55,35.06,-2.0,-2.1,止损(-2%),盘中
2025-08-11,2025,002484,元件,3.01,27.0,27.05,26.51,26.69,27.19,26.3,-2.0,-2.1,止损(-2%),盘中
2025-08-13,2025,300655,电子化学品,3.99,11.1,11.12,11.33,11.33,11.57,11.1,1.87,1.77,收盘卖出,全天
2025-08-14,2025,300346,电子化学品,5.83,34.59,34.66,33.97,33.75,35.0,33.69,-2.0,-2.1,止损(-2%),盘中
2025-08-15,2025,300408,元件,3.3,42.05,42.13,42.63,42.63,43.7,41.79,1.18,1.08,收盘卖出,全天
2025-08-18,2025,300236,电子化学品,6.38,49.99,50.09,49.09,50.92,52.18,48.7,-2.0,-2.1,止损(-2%),盘中
2025-08-21,2025,688041,半导体,4.75,156.91,157.22,155.05,155.05,160.3,154.14,-1.38,-1.48,收盘卖出,全天
2025-08-22,2025,002371,半导体,2.99,360.8,361.52,379.6,383.4,389.03,360.62,5.0,4.9,止盈(5%),盘中
2025-08-26,2025,603267,元件,6.66,61.65,61.77,60.95,60.95,62.3,60.64,-1.33,-1.43,收盘卖出,全天
2025-08-27,2025,600703,通信设备,6.37,15.6,15.63,15.32,15.35,15.95,15.27,-2.0,-2.1,止损(-2%),盘中
2025-08-28,2025,688008,半导体,4.44,109.0,109.22,114.68,117.5,117.71,109.0,5.0,4.9,止盈(5%),盘中
2025-09-03,2025,688126,半导体,2.62,21.68,21.72,21.75,21.75,22.5,21.31,0.12,0.02,收盘卖出,全天
