日期,年份,代码,板块,昨日涨跌,开盘,买入价,卖出价,收盘,最高,最低,毛收益,净收益,卖出原因,量化评分,评分评级
2025-02-20,2025,002371,半导体,5.79,455.0,455.91,456.0,456.0,461.58,451.39,0.02,-0.08,收盘卖出,70.8,可交易
2025-02-21,2025,002916,元件,3.42,156.0,156.31,164.13,160.55,164.28,155.5,5.0,4.9,止盈(5%),72.8,可交易
2025-02-24,2025,688008,半导体,6.31,77.7,77.86,77.67,77.67,79.64,76.47,-0.24,-0.34,收盘卖出,77.0,可交易
2025-02-27,2025,688008,半导体,2.28,81.83,81.99,83.68,83.68,85.97,80.96,2.06,1.96,收盘卖出,70.8,可交易
2025-03-04,2025,300285,元件,5.1,19.2,19.24,19.38,19.38,19.52,19.14,0.74,0.64,收盘卖出,77.5,可交易
2025-03-10,2025,603267,元件,2.62,43.66,43.75,45.93,44.81,46.8,43.42,5.0,4.9,止盈(5%),72.8,可交易
2025-03-11,2025,600563,元件,5.03,128.0,128.26,129.65,129.65,132.45,127.0,1.09,0.99,收盘卖出,76.5,可交易
2025-03-25,2025,688025,电子化学品,6.37,57.24,57.35,56.21,56.88,58.86,55.57,-2.0,-2.1,止损(-2%),77.8,可交易
2025-04-01,2025,688019,电子化学品,2.02,168.51,168.85,167.71,167.71,169.8,165.52,-0.67,-0.77,收盘卖出,70.5,可交易
2025-04-17,2025,300661,半导体,3.6,116.51,116.74,122.58,123.69,126.6,116.18,5.0,4.9,止盈(5%),70.5,可交易
2025-04-29,2025,600745,通信设备,3.73,33.51,33.58,35.26,34.51,35.4,33.28,5.0,4.9,止盈(5%),73.8,可交易
2025-05-06,2025,603005,半导体,3.13,28.7,28.76,29.81,29.81,29.96,28.7,3.66,3.56,收盘卖出,75.2,可交易
2025-05-07,2025,300346,电子化学品,3.19,41.0,41.08,40.26,40.25,41.18,39.84,-2.0,-2.1,止损(-2%),77.0,可交易
2025-05-23,2025,600745,通信设备,3.41,35.6,35.67,35.08,35.08,36.17,35.03,-1.66,-1.76,收盘卖出,79.5,可交易
2025-06-06,2025,688008,半导体,4.36,83.11,83.28,83.84,83.84,84.2,82.8,0.68,0.58,收盘卖出,74.0,可交易
2025-06-11,2025,688025,电子化学品,3.16,57.68,57.8,58.5,58.5,59.8,56.86,1.22,1.12,收盘卖出,70.5,可交易
2025-06-26,2025,688981,半导体,3.81,88.39,88.57,87.28,87.28,89.98,87.2,-1.45,-1.55,收盘卖出,73.2,可交易
